Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,GmeanFactor
nb,0.98 (0.98-0.98) ± 0.00,0.98 (0.93-0.99) ± 0.03,0.62 (0.60-0.65) ± 0.02,0.68 (0.65-0.72) ± 0.02,0.62 (0.60-0.65) ± 0.02,0.48 (0.44-0.55) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.71 (0.62-0.75) ± 0.05,0.48 (0.43-0.54) ± 0.04
lgbm,0.98 (0.98-0.99) ± 0.00,0.86 (0.82-0.90) ± 0.03,0.78 (0.75-0.83) ± 0.03,0.82 (0.79-0.86) ± 0.03,0.78 (0.75-0.83) ± 0.03,0.75 (0.71-0.81) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.70 (0.66-0.76) ± 0.04,0.74 (0.70-0.80) ± 0.04
logreg,0.99 (0.98-0.99) ± 0.00,0.92 (0.85-0.97) ± 0.04,0.76 (0.73-0.81) ± 0.03,0.82 (0.78-0.87) ± 0.03,0.76 (0.73-0.81) ± 0.03,0.72 (0.69-0.78) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.76 (0.73-0.80) ± 0.02,0.71 (0.67-0.77) ± 0.04
