Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,RUS_X
LightGBM,0.95 (0.93-0.96) ± 0.01,0.65 (0.62-0.68) ± 0.03,0.86 (0.80-0.91) ± 0.04,0.70 (0.67-0.73) ± 0.03,0.86 (0.80-0.91) ± 0.04,0.85 (0.79-0.91) ± 0.04,0.95 (0.93-0.96) ± 0.01,0.52 (0.40-0.61) ± 0.08,3.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.67 (0.65-0.70) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.74 (0.71-0.77) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.96 (0.95-0.97) ± 0.01,0.71 (0.66-0.79) ± 0.05,2.0
LogisticRegression,0.96 (0.96-0.97) ± 0.00,0.68 (0.67-0.70) ± 0.01,0.88 (0.85-0.91) ± 0.03,0.74 (0.72-0.77) ± 0.02,0.88 (0.85-0.91) ± 0.03,0.87 (0.84-0.91) ± 0.03,0.96 (0.96-0.97) ± 0.00,0.65 (0.59-0.74) ± 0.07,2.0
LightGBM,0.92 (0.90-0.94) ± 0.01,0.61 (0.59-0.63) ± 0.01,0.86 (0.84-0.89) ± 0.02,0.65 (0.62-0.68) ± 0.02,0.86 (0.84-0.89) ± 0.02,0.86 (0.83-0.89) ± 0.02,0.92 (0.90-0.94) ± 0.01,0.51 (0.44-0.60) ± 0.07,2.0
NaiveBayes,0.95 (0.93-0.96) ± 0.01,0.65 (0.62-0.69) ± 0.03,0.90 (0.88-0.93) ± 0.02,0.71 (0.67-0.76) ± 0.03,0.90 (0.88-0.93) ± 0.02,0.90 (0.88-0.93) ± 0.02,0.95 (0.93-0.96) ± 0.01,0.70 (0.64-0.78) ± 0.05,1.0
LogisticRegression,0.95 (0.94-0.96) ± 0.01,0.65 (0.64-0.67) ± 0.01,0.89 (0.84-0.95) ± 0.04,0.71 (0.69-0.73) ± 0.02,0.89 (0.84-0.95) ± 0.04,0.89 (0.83-0.95) ± 0.04,0.95 (0.94-0.96) ± 0.01,0.64 (0.55-0.74) ± 0.08,1.0
LightGBM,0.86 (0.83-0.88) ± 0.02,0.56 (0.56-0.57) ± 0.01,0.86 (0.84-0.88) ± 0.02,0.57 (0.55-0.60) ± 0.02,0.86 (0.84-0.88) ± 0.02,0.86 (0.84-0.88) ± 0.02,0.86 (0.83-0.88) ± 0.02,0.44 (0.36-0.54) ± 0.07,1.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,baseline
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,baseline
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03,baseline
