Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,k
LightGBM,0.98 (0.98-0.99) ± 0.00,0.88 (0.81-0.96) ± 0.06,0.72 (0.67-0.76) ± 0.04,0.77 (0.73-0.82) ± 0.03,0.72 (0.67-0.76) ± 0.04,0.66 (0.58-0.73) ± 0.06,0.98 (0.98-0.99) ± 0.00,0.61 (0.54-0.69) ± 0.05,3000.0
NaiveBayes,0.98 (0.98-0.98) ± 0.00,0.77 (0.74-0.80) ± 0.02,0.80 (0.74-0.86) ± 0.04,0.79 (0.74-0.82) ± 0.03,0.80 (0.74-0.86) ± 0.04,0.78 (0.70-0.84) ± 0.06,0.98 (0.98-0.98) ± 0.00,0.63 (0.54-0.70) ± 0.06,4000.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.80 (0.76-0.84) ± 0.03,0.81 (0.76-0.86) ± 0.03,0.80 (0.76-0.84) ± 0.03,0.81 (0.76-0.86) ± 0.03,0.78 (0.73-0.85) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.66 (0.60-0.72) ± 0.05,4000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.87 (0.86-0.90) ± 0.02,0.72 (0.67-0.74) ± 0.03,0.77 (0.73-0.79) ± 0.03,0.72 (0.67-0.74) ± 0.03,0.66 (0.58-0.70) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.64 (0.63-0.66) ± 0.02,4000.0
NaiveBayes,0.98 (0.98-0.98) ± 0.00,0.82 (0.78-0.85) ± 0.03,0.81 (0.76-0.84) ± 0.03,0.81 (0.78-0.83) ± 0.02,0.81 (0.76-0.84) ± 0.03,0.78 (0.72-0.83) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.68 (0.64-0.77) ± 0.05,5000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.81 (0.76-0.83) ± 0.03,0.83 (0.78-0.87) ± 0.03,0.82 (0.77-0.85) ± 0.03,0.83 (0.78-0.87) ± 0.03,0.81 (0.75-0.86) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.68 (0.62-0.74) ± 0.05,5000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.88 (0.85-0.91) ± 0.02,0.70 (0.65-0.73) ± 0.03,0.76 (0.72-0.79) ± 0.03,0.70 (0.65-0.73) ± 0.03,0.64 (0.55-0.69) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.65 (0.62-0.70) ± 0.03,5000.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.85 (0.81-0.87) ± 0.02,0.81 (0.76-0.86) ± 0.04,0.82 (0.79-0.86) ± 0.03,0.81 (0.76-0.86) ± 0.04,0.78 (0.72-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.71 (0.64-0.81) ± 0.07,6000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.85) ± 0.01,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.85) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.71 (0.67-0.76) ± 0.04,6000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.88 (0.83-0.91) ± 0.04,0.70 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.70 (0.67-0.73) ± 0.03,0.64 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.66) ± 0.03,6000.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.86 (0.83-0.90) ± 0.03,0.80 (0.75-0.86) ± 0.04,0.83 (0.78-0.87) ± 0.03,0.80 (0.75-0.86) ± 0.04,0.78 (0.70-0.85) ± 0.05,0.98 (0.98-0.99) ± 0.00,0.72 (0.65-0.80) ± 0.06,7000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.84) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.83 (0.81-0.85) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.78-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.76) ± 0.04,7000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.91 (0.85-0.96) ± 0.04,0.70 (0.68-0.73) ± 0.02,0.77 (0.75-0.79) ± 0.02,0.70 (0.68-0.73) ± 0.02,0.64 (0.60-0.68) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.64 (0.62-0.68) ± 0.02,7000.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.84 (0.81-0.86) ± 0.02,0.80 (0.76-0.86) ± 0.04,0.82 (0.80-0.86) ± 0.02,0.80 (0.76-0.86) ± 0.04,0.78 (0.72-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.71 (0.64-0.80) ± 0.06,8000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.83 (0.81-0.85) ± 0.01,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.77) ± 0.04,8000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.89 (0.85-0.93) ± 0.03,0.70 (0.67-0.73) ± 0.02,0.77 (0.74-0.78) ± 0.02,0.70 (0.67-0.73) ± 0.02,0.64 (0.59-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.65 (0.62-0.67) ± 0.02,8000.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.85) ± 0.01,0.81 (0.77-0.86) ± 0.03,0.82 (0.80-0.85) ± 0.02,0.81 (0.77-0.86) ± 0.03,0.79 (0.74-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.71 (0.64-0.80) ± 0.06,9000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.84 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.77) ± 0.05,9000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.89 (0.83-0.95) ± 0.05,0.69 (0.67-0.71) ± 0.02,0.75 (0.74-0.77) ± 0.01,0.69 (0.67-0.71) ± 0.02,0.62 (0.58-0.64) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.64 (0.61-0.68) ± 0.03,9000.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.82-0.85) ± 0.01,0.81 (0.76-0.84) ± 0.03,0.82 (0.79-0.84) ± 0.02,0.81 (0.76-0.84) ± 0.03,0.79 (0.72-0.83) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,10000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.73 (0.67-0.78) ± 0.05,10000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.88 (0.85-0.91) ± 0.03,0.69 (0.64-0.71) ± 0.03,0.75 (0.70-0.77) ± 0.03,0.69 (0.64-0.71) ± 0.03,0.61 (0.53-0.64) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.64 (0.61-0.66) ± 0.02,10000.0
NaiveBayes,0.98 (0.98-0.98) ± 0.00,0.79 (0.77-0.83) ± 0.02,0.87 (0.84-0.90) ± 0.02,0.83 (0.80-0.85) ± 0.02,0.87 (0.84-0.90) ± 0.02,0.86 (0.83-0.89) ± 0.02,0.98 (0.98-0.98) ± 0.00,0.73 (0.68-0.81) ± 0.05,20000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.85 (0.83-0.88) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.84 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.82 (0.77-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,20000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.89 (0.83-0.93) ± 0.04,0.67 (0.67-0.68) ± 0.01,0.74 (0.73-0.75) ± 0.01,0.67 (0.67-0.68) ± 0.01,0.59 (0.58-0.60) ± 0.01,0.98 (0.98-0.98) ± 0.00,0.65 (0.59-0.69) ± 0.03,20000.0
