Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,RUS_X
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.85) ± 0.02,0.81 (0.77-0.86) ± 0.03,0.82 (0.80-0.85) ± 0.02,0.81 (0.77-0.86) ± 0.03,0.79 (0.74-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,35.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.73 (0.67-0.78) ± 0.05,35.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.90 (0.86-0.93) ± 0.03,0.71 (0.67-0.75) ± 0.03,0.77 (0.75-0.81) ± 0.03,0.71 (0.67-0.75) ± 0.03,0.65 (0.59-0.71) ± 0.05,0.98 (0.98-0.99) ± 0.00,0.65 (0.62-0.67) ± 0.02,35.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.83 (0.81-0.85) ± 0.02,0.82 (0.81-0.86) ± 0.02,0.83 (0.81-0.85) ± 0.01,0.82 (0.81-0.86) ± 0.02,0.81 (0.79-0.85) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,30.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.81-0.87) ± 0.03,0.83 (0.80-0.86) ± 0.02,0.83 (0.82-0.86) ± 0.02,0.83 (0.80-0.86) ± 0.02,0.82 (0.78-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.78) ± 0.05,30.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.86 (0.83-0.90) ± 0.03,0.70 (0.68-0.73) ± 0.02,0.75 (0.73-0.78) ± 0.02,0.70 (0.68-0.73) ± 0.02,0.63 (0.60-0.69) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.63 (0.60-0.65) ± 0.02,30.0
NaiveBayes,0.98 (0.98-0.99) ± 0.00,0.81 (0.79-0.83) ± 0.02,0.84 (0.82-0.88) ± 0.03,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05,25.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.82 (0.81-0.84) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.83 (0.82-0.85) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.82 (0.80-0.85) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.72 (0.67-0.78) ± 0.05,25.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.87 (0.82-0.90) ± 0.03,0.73 (0.68-0.76) ± 0.04,0.78 (0.75-0.81) ± 0.03,0.73 (0.68-0.76) ± 0.04,0.67 (0.60-0.73) ± 0.05,0.98 (0.98-0.99) ± 0.00,0.64 (0.59-0.66) ± 0.03,25.0
NaiveBayes,0.98 (0.98-0.98) ± 0.00,0.81 (0.77-0.84) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.83 (0.80-0.86) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.85 (0.82-0.91) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.72 (0.65-0.81) ± 0.06,20.0
