Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,ROC_AUC,k
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.79 (0.77-0.82) ± 0.02,0.86 (0.82-0.91) ± 0.04,0.82 (0.80-0.84) ± 0.01,0.86 (0.82-0.91) ± 0.04,0.85 (0.80-0.91) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,1000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.95 (0.86-0.99) ± 0.06,0.59 (0.54-0.64) ± 0.03,0.64 (0.57-0.71) ± 0.05,0.59 (0.54-0.64) ± 0.03,0.41 (0.29-0.52) ± 0.09,0.98 (0.98-0.98) ± 0.00,0.92 (0.88-0.97) ± 0.04,1000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.81-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.81-0.86) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,2000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.94 (0.86-0.99) ± 0.05,0.60 (0.54-0.64) ± 0.04,0.65 (0.57-0.71) ± 0.06,0.60 (0.54-0.64) ± 0.04,0.43 (0.29-0.52) ± 0.09,0.98 (0.98-0.98) ± 0.00,0.91 (0.86-0.96) ± 0.04,2000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.84 (0.81-0.86) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.82 (0.78-0.85) ± 0.03,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,3000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.59 (0.49-0.99) ± 0.22,0.51 (0.50-0.53) ± 0.01,0.50 (0.49-0.55) ± 0.02,0.51 (0.50-0.53) ± 0.01,0.05 (0.00-0.23) ± 0.10,0.98 (0.98-0.98) ± 0.00,0.88 (0.86-0.91) ± 0.02,3000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,4000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.80 (0.73-0.86) ± 0.05,4000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.86) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,5000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.59 (0.47-0.70) ± 0.11,5000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,6000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.48 (0.37-0.67) ± 0.11,6000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,7000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.48 (0.37-0.67) ± 0.11,7000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,8000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.48 (0.37-0.67) ± 0.11,8000.0
LogisticRegression,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,9000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.49 (0.49-0.49) ± 0.00,0.50 (0.50-0.50) ± 0.00,0.00 (0.00-0.00) ± 0.00,0.98 (0.98-0.98) ± 0.00,0.48 (0.37-0.67) ± 0.11,9000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.97 (0.96-0.98) ± 0.00,baseline
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.97 (0.95-0.98) ± 0.01,baseline
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.95 (0.94-0.96) ± 0.01,baseline
